El(ft),Storage(acre-feet),Area(acres)
335.2,100282,2224
335.3,100504,2229
335.4,100728,2233
335.5,100951,2237
335.6,101175,2241
335.7,101399,2245
335.8,101624,2249
335.9,101849,2254
336,102075,2258
336.1,102301,2262
336.2,102527,2266
336.3,102754,2270
336.4,102981,2275
336.5,103209,2279
336.6,103437,2283
336.7,103665,2287
336.8,103894,2291
336.9,104124,2295
337,104353,2300
337.1,104584,2304
337.2,104814,2308
337.3,105045,2312
337.4,105277,2316
337.5,105508,2320
337.6,105741,2325
337.7,105973,2329
337.8,106206,2333
337.9,106440,2337
338,106674,2341
338.1,106908,2346
338.2,107143,2350
338.3,107378,2354
338.4,107614,2359
338.5,107850,2363
338.6,108086,2367
338.7,108323,2372
338.8,108561,2376
338.9,108798,2380
339,109037,2385
339.1,109275,2389
339.2,109515,2393
339.3,109754,2398
339.4,109994,2402
339.5,110235,2406
339.6,110475,2411
339.7,110717,2415
339.8,110958,2420
339.9,111201,2424
340,111443,2428
340.1,111686,2433
340.2,111930,2437
340.3,112174,2441
340.4,112418,2446
340.5,112663,2450
340.6,112908,2454
340.7,113154,2459
340.8,113400,2463
340.9,113646,2467
341,113893,2472
341.1,114140,2476
341.2,114388,2480
341.3,114637,2484
341.4,114885,2489
341.5,115134,2493
341.6,115384,2497
341.7,115634,2502
341.8,115884,2506
341.9,116135,2510
342,116386,2514
342.1,116638,2519
342.2,116890,2523
342.3,117142,2527
342.4,117395,2531
342.5,117649,2536
342.6,117902,2540
342.7,118157,2544
342.8,118411,2549
342.9,118666,2553
343,118922,2557
343.1,119178,2561
343.2,119434,2566
343.3,119691,2570
343.4,119948,2574
343.5,120206,2578
343.6,120464,2583
343.7,120722,2587
343.8,120981,2591
343.9,121240,2595
344,121500,2600
344.1,121760,2604
344.2,122021,2609
344.3,122282,2614
344.4,122544,2618
344.5,122806,2623
344.6,123068,2627
344.7,123331,2632
344.8,123595,2637
344.9,123859,2641
345,124123,2646
345.1,124388,2650
345.2,124653,2655
345.3,124919,2660
345.4,125185,2664
345.5,125452,2669
345.6,125719,2673
345.7,125986,2678
345.8,126254,2683
345.9,126523,2687
346,126792,2692
346.1,127061,2697
346.2,127331,2701
346.3,127601,2706
346.4,127872,2710
346.5,128144,2715
346.6,128415,2720
346.7,128687,2724
346.8,128960,2729
346.9,129233,2733
347,129507,2738
347.1,129781,2743
347.2,130055,2748
347.3,130330,2753
347.4,130606,2758
347.5,130882,2763
347.6,131158,2768
347.7,131435,2773
347.8,131713,2777
347.9,131991,2782
348,132269,2787
348.1,132548,2792
348.2,132828,2797
348.3,133108,2802
348.4,133388,2807
348.5,133669,2812
348.6,133951,2817
348.7,134233,2822
348.8,134515,2827
348.9,134798,2832
349,135081,2837
349.1,135365,2842
349.2,135650,2847
349.3,135935,2852
349.4,136220,2856
349.5,136506,2861
349.6,136792,2866
349.7,137079,2871
349.8,137367,2876
349.9,137655,2881
350,137943,2886
350.1,138232,2891
350.2,138521,2897
350.3,138811,2902
350.4,139102,2908
350.5,139393,2913
350.6,139684,2918
350.7,139976,2924
350.8,140269,2929
350.9,140562,2935
351,140856,2940
351.1,141150,2945
351.2,141445,2951
351.3,141740,2956
351.4,142036,2961
351.5,142333,2967
351.6,142630,2972
351.7,142927,2978
351.8,143225,2983
351.9,143524,2988
352,143823,2994
352.1,144122,2999
352.2,144423,3005
352.3,144723,3010
352.4,145025,3015
352.5,145326,3021
352.6,145629,3026
352.7,145932,3031
352.8,146235,3037
352.9,146539,3042
353,146843,3048
353.1,147149,3054
353.2,147454,3060
353.3,147760,3066
353.4,148067,3072
353.5,148375,3078
353.6,148683,3084
353.7,148992,3090
353.8,149301,3096
353.9,149611,3102
354,149921,3108
354.1,150232,3114
354.2,150544,3120
354.3,150856,3126
354.4,151169,3132
354.5,151483,3138
354.6,151797,3144
354.7,152112,3150
354.8,152427,3156
354.9,152743,3162
355,153060,3168
355.1,153377,3175
355.2,153694,3181
355.3,154013,3187
355.4,154332,3193
355.5,154651,3199
355.6,154971,3205
355.7,155292,3211
355.8,155614,3217
355.9,155936,3223
356,156258,3229
356.1,156581,3236
356.2,156905,3243
356.3,157230,3250
356.4,157555,3257
356.5,157882,3265
356.6,158208,3272
356.7,158536,3279
356.8,158864,3286
356.9,159193,3293
357,159523,3300
357.1,159853,3307
357.2,160184,3315
357.3,160516,3332
357.4,160849,3329
357.5,161182,3336
357.6,161516,3343
357.7,161851,3350
357.8,162186,3357
357.9,162522,3365
358,162859,3372
358.1,163196,3379
358.2,163535,3386
358.3,163874,3393
358.4,164213,3400
358.5,164554,3407
358.6,164895,3415
358.7,165237,3422
358.8,165579,3429
358.9,165922,3436
359,166266,3443
359.1,166611,3451
359.2,166957,3458
359.3,167303,3466
359.4,167650,3473
359.5,167997,3481
359.6,168346,3489
359.7,168695,3496
359.8,169045,3504
359.9,169396,3511
360,169747,3519
360.1,170100,3527
360.2,170453,3534
360.3,170807,3542
360.4,171161,3549
360.5,171516,3557
360.6,171872,3564
360.7,172229,3572
360.8,172587,3580
360.9,172945,3587
361,173304,3595
361.1,173664,3602
361.2,174025,3610
361.3,174386,3617
361.4,174748,3625
361.5,175111,3633
361.6,175475,3640
361.7,175839,3648
361.8,176204,3655
361.9,176570,3663
362,176937,3670
362.1,177304,3679
362.2,177672,3687
362.3,178042,3695
362.4,178411,3703
362.5,178782,3711
362.6,179154,3719
362.7,179526,3727
362.8,179899,3735
362.9,180273,3743
363,180648,3752
363.1,181023,3760
363.2,181400,3768
363.3,181777,3776
363.4,182155,3784
363.5,182534,3792
363.6,182913,3800
363.7,183294,3808
363.8,183675,3817
363.9,184057,3825
364,184440,3833
364.1,184824,3841
364.2,185208,3849
364.3,185593,3857
364.4,185979,3865
364.5,186366,3873
364.6,186754,3881
364.7,187143,3890
364.8,187532,3898
364.9,187922,3906
365,188313,3914
365.1,188705,3923
365.2,189098,3932
365.3,189491,3941
365.4,189886,3949
365.5,190281,3958
365.6,190678,3967
365.7,191075,3976
365.8,191473,3985
365.9,191872,3994
366,192272,4003
366.1,192672,4012
366.2,193074,4020
366.3,193476,4029
366.4,193880,4038
366.5,194284,4047
366.6,194689,4056
366.7,195095,4065
366.8,195502,4074
366.9,195910,4083
367,196319,4091
367.1,196728,4100
367.2,197139,4109
367.3,197550,4118
367.4,197962,4127
367.5,198375,4136
367.6,198789,4145
367.7,199204,4154
367.8,199620,4162
367.9,200037,4171
368,200454,4180
368.1,200873,4188
368.2,201292,4197
368.3,201712,4205
368.4,202133,4213
368.5,202555,4222
368.6,202977,4230
368.7,203401,4238
368.8,203825,4246
368.9,204250,4255
369,204676,4263
369.1,205103,4271
369.2,205530,4279
369.3,205959,4288
369.4,206388,4296
369.5,206818,4304
369.6,207249,4313
369.7,207680,4321
369.8,208113,4329
369.9,208546,4337
370,208980,4346
370.1,209415,4354
370.2,209851,4362
370.3,210288,4370
370.4,210725,4379
370.5,211163,4387
370.6,211602,4395
370.7,212042,4403
370.8,212483,4412
370.9,212925,4420
371,213367,4428
371.1,213810,4436
371.2,214254,4443
371.3,214699,4451
371.4,215144,4458
371.5,215591,4466
371.6,216038,4473
371.7,216485,4481
371.8,216934,4488
371.9,217383,4496
372,217833,4503
372.1,218284,4511
372.2,218735,4518
372.3,219187,4526
372.4,219640,4533
372.5,220094,4541
372.6,220548,4548
372.7,221004,4556
372.8,221460,4563
372.9,221916,4571
373,222374,4578
373.1,222832,4586
373.2,223291,4593
373.3,223751,4601
373.4,224211,4608
373.5,224672,4616
373.6,225134,4623
373.7,225597,4631
373.8,226060,4638
373.9,226524,4646
374,226989,4653
374.1,227455,4660
374.2,227921,4668
374.3,228389,4675
374.4,228857,4682
374.5,229325,4690
374.6,229794,4697
374.7,230264,4704
374.8,230735,4712
374.9,231207,4719
375,231679,4726
375.1,232152,4733
375.2,232626,4741
375.3,233100,4748
375.4,233575,4755
375.5,234051,4763
375.6,234528,4770
375.7,235005,4777
375.8,235483,4785
375.9,235962,4792
376,236442,4799
376.1,236922,4806
376.2,237403,4814
376.3,237885,4821
376.4,238367,4828
376.5,238850,4836
376.6,239334,4843
376.7,239819,4850
376.8,240304,4858
376.9,240790,4865
377,241277,4872
377.1,241765,4880
377.2,242253,4888
377.3,242742,4895
377.4,243232,4903
377.5,243723,4911
377.6,244214,4918
377.7,244707,4926
377.8,245200,4934
377.9,245693,4942
378,246188,4949
378.1,246683,4957
378.2,247179,4965
378.3,247676,4972
378.4,248174,4980
378.5,248672,4988
378.6,249171,4996
378.7,249671,5003
378.8,250172,5011
378.9,250674,5019
379,251176,5026
379.1,251679,5034
379.2,252183,5042
379.3,252687,5050
379.4,253193,5057
379.5,253699,5065
379.6,254206,5073
379.7,254713,5080
379.8,255222,5088
379.9,255731,5096
380,256241,5104
380.1,256751,5111
380.2,257263,5118
380.3,257775,5126
380.4,258288,5133
380.5,258802,5141
380.6,259316,5148
380.7,259831,5156
380.8,260347,5163
380.9,260864,5171
381,261382,5178
381.1,261900,5186
381.2,262419,5193
381.3,262938,5201
381.4,263459,5208
381.5,263980,5215
381.6,264502,5223
381.7,265025,5230
381.8,265548,5238
381.9,266072,5245
382,266597,5253
382.1,267123,5260
382.2,267649,5268
382.3,268176,5275
382.4,268704,5283
382.5,269233,5290
382.6,269762,5298
382.7,270292,5305
382.8,270823,5312
382.9,271355,5320
383,271887,5327
383.1,272420,5334
383.2,272954,5341
383.3,273488,5348
383.4,274024,5355
383.5,274559,5362
383.6,275096,5369
383.7,275633,5376
383.8,276171,5383
383.9,276710,5390
384,277249,5397
384.1,277789,5404
384.2,278330,5411
384.3,278871,5418
384.4,279413,5425
384.5,279956,5431
384.6,280500,5438
384.7,281044,5445
384.8,281589,5452
384.9,282134,5459
385,282681,5466
385.1,283228,5473
385.2,283775,5480
385.3,284324,5487
385.4,284873,5494
385.5,285422,5501
385.6,285973,5508
385.7,286524,5515
385.8,287076,5522
385.9,287628,5529
386,288181,5535
386.1,288735,5543
386.2,289290,5550
386.3,289845,5558
386.4,290402,5565
386.5,290959,5573
386.6,291516,5580
386.7,292075,5588
386.8,292634,5595
386.9,293194,5603
387,293754,5610
387.1,294316,5618
387.2,294878,5625
387.3,295441,5632
387.4,296004,5640
387.5,296569,5647
387.6,297134,5655
387.7,297700,5662
387.8,298266,5670
387.9,298834,5677
388,299402,5685
388.1,299970,5692
388.2,300540,5700
388.3,301110,5707
388.4,301682,5715
388.5,302253,5722
388.6,302826,5729
388.7,303399,5737
388.8,303973,5744
388.9,304548,5752
389,305124,5759
389.1,305700,5767
389.2,306277,5774
389.3,306855,5782
389.4,307433,5790
389.5,308013,5797
389.6,308593,5805
389.7,309174,5812
389.8,309755,5820
389.9,310338,5827
390,310921,5835
390.1,311505,5842
390.2,312089,5850
390.3,312675,5858
390.4,313261,5865
390.5,313848,5873
390.6,314435,5880
390.7,315024,5888
390.8,315613,5895
390.9,316203,5903
391,316794,5911
391.1,317385,5918
391.2,317977,5926
391.3,318570,5933
391.4,319164,5941
391.5,319758,5948
391.6,320353,5956
391.7,320949,5964
391.8,321546,5971
391.9,322144,5979
392,322742,5986
392.1,323341,5993
392.2,323941,6001
392.3,324541,6008
392.4,325142,6015
392.5,325744,6022
392.6,326347,6029
392.7,326950,6037
392.8,327554,6044
392.9,328159,6051
393,328764,6058
393.1,329370,6065
393.2,329977,6072
393.3,330585,6080
393.4,331193,6087
393.5,331802,6094
393.6,332412,6101
393.7,333022,6108
393.8,333633,6116
393.9,334245,6123
394,334858,6130
394.1,335471,6137
394.2,336085,6144
394.3,336700,6151
394.4,337316,6159
394.5,337932,6166
394.6,338549,6173
394.7,339167,6180
394.8,339785,6187
394.9,340404,6195
395,341024,6202
395.1,341644,6209
395.2,342266,6217
395.3,342888,6224
395.4,343511,6231
395.5,344134,6239
395.6,344758,6246
395.7,345383,6254
395.8,346009,6261
395.9,346636,6269
396,347263,6276
396.1,347891,6283
396.2,348519,6291
396.3,349149,6298
396.4,349779,6306
396.5,350410,6313
396.6,351042,6321
396.7,351674,6328
396.8,352307,6335
396.9,352941,6343
397,353576,6350
397.1,354211,6358
397.2,354847,6365
397.3,355484,6372
397.4,356122,6380
397.5,356760,6387
397.6,357399,6395
397.7,358039,6402
397.8,358680,6410
397.9,359321,6417
398,359963,6424
398.1,360606,6432
398.2,361250,6440
398.3,361894,6447
398.4,362539,6455
398.5,363185,6462
398.6,363832,6470
398.7,364479,6478
398.8,365127,6485
398.9,365776,6493
399,366426,6500
399.1,367076,6508
399.2,367727,6515
399.3,368379,6523
399.4,369032,6531
399.5,369685,6538
399.6,370339,6546
399.7,370994,6553
399.8,371650,6561
399.9,372307,6569
400,372964,6576
400.1,373622,6584
400.2,374281,6591
400.3,374940,6599
400.4,375600,6607
400.5,376261,6614
400.6,376923,6622
400.7,377586,6629
400.8,378249,6637
400.9,378913,6645
401,379578,6652
401.1,380244,6660
401.2,380910,6668
401.3,381577,6676
401.4,382245,6684
401.5,382914,6692
401.6,383584,6700
401.7,384254,6709
401.8,384925,6717
401.9,385597,6725
402,386270,6733
402.1,386944,6741
402.2,387618,6749
402.3,388294,6757
402.4,388970,6765
402.5,389647,6773
402.6,390324,6781
402.7,391003,6789
402.8,391682,6797
402.9,392362,6805
403,393043,6813
403.1,393725,6821
403.2,394408,6829
403.3,395091,6837
403.4,395775,6846
403.5,396460,6854
403.6,397146,6862
403.7,397832,6870
403.8,398520,6878
403.9,399208,6886
404,399897,6894
404.1,400587,6902
404.2,401277,6911
404.3,401969,6919
404.4,402661,6928
404.5,403354,6936
404.6,404049,6945
404.7,404743,6953
404.8,405439,6962
404.9,406136,6970
405,406833,6979
405.1,407531,6987
405.2,408231,6995
405.3,408931,7004
405.4,409631,7012
405.5,410333,7021
405.6,411036,7029
405.7,411739,7038
405.8,412443,7046
405.9,413148,7055
406,413854,7063
406.1,414561,7072
406.2,415268,7080
406.3,415977,7089
406.4,416686,7097
406.5,417396,7106
406.6,418107,7114
406.7,418819,7122
406.8,419532,7131
406.9,420245,7139
407,420960,7148
407.1,421675,7156
407.2,422391,7163
407.3,423108,7171
407.4,423825,7179
407.5,424543,7187
407.6,425262,7195
407.7,425982,7202
407.8,426703,7210
407.9,427424,7218
408,428146,7226
408.1,428869,7234
408.2,429593,7241
408.3,430318,7249
408.4,431043,7257
408.5,431769,7265
408.6,432496,7272
408.7,433224,7280
408.8,433952,7288
408.9,434681,7296
409,435411,7304
409.1,436142,7311
409.2,436873,7319
409.3,437606,7327
409.4,438339,7335
409.5,439073,7343
409.6,439807,7350
409.7,440543,7358
409.8,441279,7366
409.9,442016,7374
410,442754,7381
410.1,443492,7389
410.2,444232,7396
410.3,444972,7404
410.4,445712,7411
410.5,446454,7419
410.6,447196,7426
410.7,447939,7433
410.8,448683,7441
410.9,449427,7448
411,450172,7456
411.1,450918,7463
411.2,451665,7470
411.3,452412,7478
411.4,453160,7485
411.5,453909,7493
411.6,454659,7500
411.7,455409,7507
411.8,456160,7515
411.9,456912,7522
412,457665,7530
412.1,458418,7537
412.2,459172,7544
412.3,459927,7552
412.4,460683,7559
412.5,461439,7567
412.6,462196,7574
412.7,462954,7581
412.8,463712,7589
412.9,464472,7596
413,465232,7604
413.1,465992,7611
413.2,466754,7618
413.3,467516,7625
413.4,468279,7632
413.5,469042,7639
413.6,469806,7646
413.7,470571,7652
413.8,471337,7659
413.9,472103,7666
414,472870,7673
414.1,473638,7680
414.2,474406,7687
414.3,475175,7694
414.4,475945,7701
414.5,476715,7708
414.6,477487,7715
414.7,478258,7722
414.8,479031,7729
414.9,479804,7736
415,480578,7743
415.1,481353,7750
415.2,482128,7757
415.3,482904,7764
415.4,483681,7771
415.5,484458,7778
415.6,485237,7785
415.7,486015,7792
415.8,486795,7799
415.9,487575,7806
416,488356,7813
416.1,489138,7819
416.2,489920,7826
416.3,490703,7833
416.4,491487,7840
416.5,492271,7846
416.6,493056,7853
416.7,493841,7860
416.8,494628,7866
416.9,495415,7873
417,496202,7880
417.1,496991,7887
417.2,497780,7893
417.3,498569,7900
417.4,499360,7907
417.5,500151,7913
417.6,500942,7920
417.7,501735,7927
417.8,502528,7934
417.9,503322,7940
418,504116,7947
418.1,504911,7954
418.2,505707,7960
418.3,506503,7967
418.4,507300,7974
418.5,508098,7981
418.6,508896,7987
418.7,509695,7994
418.8,510495,8001
418.9,511295,8007
419,512096,8014
419.1,512898,8021
419.2,513701,8027
419.3,514504,8033
419.4,515307,8040
419.5,516112,8046
419.6,516916,8052
419.7,517722,8059
419.8,518528,8065
419.9,519335,8071
420,520142,8078
420.1,520950,8084
420.2,521759,8090
420.3,522568,8097
420.4,523378,8103
420.5,524189,8109
420.6,525000,8116
420.7,525812,8122
420.8,526625,8128
420.9,527438,8135
421,528252,8141
421.1,529066,8147
421.2,529881,8154
421.3,530697,8160
421.4,531513,8166
421.5,532330,8173
421.6,533148,8179
421.7,533966,8185
421.8,534785,8192
421.9,535604,8198
422,536424,8204
422.1,537245,8211
422.2,538067,8218
422.3,538889,8225
422.4,539712,8231
422.5,540535,8238
422.6,541359,8245
422.7,542184,8252
422.8,543009,8258
422.9,543836,8265
423,544662,8272
423.1,545490,8279
423.2,546318,8285
423.3,547147,8292
423.4,547977,8299
423.5,548807,8305
423.6,549638,8312
423.7,550469,8319
423.8,551301,8326
423.9,552134,8332
424,552968,8339
424.1,553802,8346
424.2,554637,8353
424.3,555473,8359
424.4,556309,8366
424.5,557146,8373
424.6,557984,8380
424.7,558822,8386
424.8,559661,8393
424.9,560500,8400
425,561341,8407
425.1,562182,8417
425.2,563024,8427
425.3,563867,8437
425.4,564712,8448
425.5,565557,8458
425.6,566403,8468
425.7,567250,8478
425.8,568099,8489
425.9,568948,8499
426,569799,8509
426.1,570650,8519
426.2,571502,8530
426.3,572356,8540
426.4,573210,8550
426.5,574066,8560
426.6,574923,8571
426.7,575780,8581
426.8,576639,8591
426.9,577498,8601
427,578359,8612
427.1,579221,8622
427.2,580083,8632
427.3,580947,8642
427.4,581812,8653
427.5,582678,8663
427.6,583544,8673
427.7,584412,8684
427.8,585281,8694
427.9,586151,8704
428,587022,8714
428.1,587894,8722
428.2,588766,8730
428.3,589640,8738
428.4,590514,8746
428.5,591389,8754
428.6,592265,8762
428.7,593142,8770
428.8,594019,8778
428.9,594897,8786
429,595776,8794
429.1,596656,8802
429.2,597537,8810
429.3,598418,8818
429.4,599300,8826
429.5,600183,8834
429.6,601067,8842
429.7,601952,8850
429.8,602837,8858
429.9,603723,8866
430,604610,8874
430.1,605498,8882
430.2,606387,8890
430.3,607276,8898
430.4,608166,8906
430.5,609057,8914
430.6,609949,8922
430.7,610842,8930
430.8,611735,8938
430.9,612629,8946
431,613524,8954
431.1,614420,8961
431.2,615317,8968
431.3,616214,8976
431.4,617112,8983
431.5,618010,8990
431.6,618910,8997
431.7,619810,9005
431.8,620711,9012
431.9,621612,9019
432,622514,9026
432.1,623417,9034
432.2,624321,9041
432.3,625226,9048
432.4,626131,9055
432.5,627037,9063
432.6,627943,9070
432.7,628851,9077
432.8,629759,9084
432.9,630668,9092
433,631577,9099
433.1,632487,9106
433.2,633398,9113
433.3,634310,9121
433.4,635222,9128
433.5,636136,9135
433.6,637049,9142
433.7,637964,9150
433.8,638879,9157
433.9,639795,9164
434,640712,9171
434.1,641630,9178
434.2,642548,9185
434.3,643467,9192
434.4,644386,9199
434.5,645306,9205
434.6,646227,9212
434.7,647149,9219
434.8,648071,9226
434.9,648994,9232
435,649918,9239
435.1,650842,9246
435.2,651767,9253
435.3,652692,9260
435.4,653619,9266
435.5,654546,9273
435.6,655473,9280
435.7,656402,9287
435.8,657331,9294
435.9,658260,9300
436,659191,9307
436.1,660122,9314
436.2,661054,9321
436.3,661986,9327
436.4,662919,9334
436.5,663853,9341
436.6,664787,9348
436.7,665722,9355
436.8,666658,9361
436.9,667595,9368
437,668532,9375
437.1,669470,9382
437.2,670408,9388
437.3,671347,9395
437.4,672287,9402
437.5,673228,9408
437.6,674169,9415
437.7,675111,9421
437.8,676053,9428
437.9,676996,9435
438,677940,9441
438.1,678884,9448
438.2,679830,9455
438.3,680775,9461
438.4,681722,9468
438.5,682669,9474
438.6,683617,9481
438.7,684565,9488
438.8,685514,9494
438.9,686464,9501
439,687415,9508
439.1,688366,9514
439.2,689317,9521
439.3,690270,9528
439.4,691223,9534
439.5,692177,9541
439.6,693131,9547
439.7,694086,9554
439.8,695042,9561
439.9,695998,9567
440,696955,9574
440.1,697913,9580
440.2,698871,9587
440.3,699830,9593
440.4,700790,9600
440.5,701750,9606
440.6,702711,9613
440.7,703673,9619
440.8,704635,9626
440.9,705598,9632
441,706562,9639
441.1,707526,9645
441.2,708491,9652
441.3,709456,9658
441.4,710423,9665
441.5,711389,9671
441.6,712357,9678
441.7,713325,9684
441.8,714294,9691
441.9,715263,9697
442,716233,9704
442.1,717204,9710
442.2,718175,9717
442.3,719147,9723
442.4,720120,9730
442.5,721093,9736
442.6,722067,9743
442.7,723042,9749
442.8,724017,9756
442.9,724993,9762
443,725969,9769
443.1,726946,9775
443.2,727924,9782
443.3,728902,9788
443.4,729882,9794
443.5,730861,9800
443.6,731842,9807
443.7,732823,9813
443.8,733804,9819
443.9,734786,9825
444,735769,9832
444.1,736753,9838
444.2,737737,9844
444.3,738722,9851
444.4,739707,9857
444.5,740693,9863
444.6,741680,9869
444.7,742667,9876
444.8,743655,9882
444.9,744643,9888
445,745632,9894
445.1,746622,9901
445.2,747613,9907
445.3,748604,9913
445.4,749595,9920
445.5,750587,9926
445.6,751580,9932
445.7,752574,9938
445.8,753568,9945
445.9,754563,9951
446,755558,9957
446.1,756554,9963
446.2,757551,9970
446.3,758548,9976
446.4,759546,9982
446.5,760545,9989
446.6,761544,9995
446.7,762544,10001
446.8,763544,10007
446.9,764545,10014
447,765547,10020
447.1,766549,10026
447.2,767552,10032
447.3,768556,10039
447.4,769560,10045
447.5,770565,10051
447.6,771570,10057
447.7,772576,10064
447.8,773583,10070
447.9,774590,10076
448,775598,10083
448.1,776607,10089
448.2,777616,10095
448.3,778626,10101
448.4,779636,10108
448.5,780647,10114
448.6,781659,10120
448.7,782671,10126
448.8,783684,10133
448.9,784698,10139
449,785712,10145
449.1,786727,10152
449.2,787742,10158
449.3,788758,10164
449.4,789775,10170
449.5,790792,10177
449.6,791810,10183
449.7,792829,10189
449.8,793848,10195
449.9,794868,10202
450,795889,10208
450.1,796909,10214
450.2,797931,10220
450.3,798953,10226
450.4,799976,10232
450.5,801000,10239
450.6,802024,10245
450.7,803049,10251
450.8,804074,10257
450.9,805100,10263
451,806127,10270
451.1,807154,10276
451.2,808182,10282
451.3,809210,10288
451.4,810239,10295
451.5,811269,10301
451.6,812300,10307
451.7,813331,10313
451.8,814362,10320
451.9,815395,10326
452,816428,10332
452.1,817461,10338
452.2,818495,10345
452.3,819530,10351
452.4,820565,10357
452.5,821601,10363
452.6,822638,10370
452.7,823675,10376
452.8,824713,10382
452.9,825752,10388
453,826791,10395
453.1,827831,10401
453.2,828871,10407
453.3,829912,10413
453.4,830954,10419
453.5,831996,10425
453.6,833039,10431
453.7,834082,10437
453.8,835126,10443
453.9,836170,10449
454,837216,10455
454.1,838261,10461
454.2,839308,10467
454.3,840355,10473
454.4,841402,10479
454.5,842451,10485
454.6,843499,10491
454.7,844549,10497
454.8,845599,10503
454.9,846649,10509
455,847700,10515
455.1,848752,10521
455.2,849805,10527
455.3,850858,10533
455.4,851911,10539
455.5,852965,10545
455.6,854020,10551
455.7,855076,10557
455.8,856132,10563
455.9,857188,10569
456,858245,10575
456.1,859304,10580
456.2,860362,10586
456.3,861421,10591
456.4,862480,10597
456.5,863540,10603
456.6,864601,10608
456.7,865662,10614
456.8,866723,10620
456.9,867786,10625
457,868849,10631
457.1,869912,10637
457.2,870976,10642
457.3,872040,10648
457.4,873105,10654
457.5,874171,10659
457.6,875237,10665
457.7,876304,10671
457.8,877371,10676
457.9,878439,10682
458,879508,10688
458.1,880577,10693
458.2,881646,10699
458.3,882717,10705
458.4,883787,10710
458.5,884859,10716
458.6,885931,10722
458.7,887003,10727
458.8,888076,10733
458.9,889150,10739
459,890224,10744
459.1,891298,10750
459.2,892374,10756
459.3,893450,10761
459.4,894526,10767
459.5,895603,10773
459.6,896681,10778
459.7,897759,10784
459.8,898837,10790
459.9,899917,10795
460,900996,10801
460.1,902077,10807
460.2,903158,10812
460.3,904239,10818
460.4,905321,10824
460.5,906404,10829
460.6,907487,10835
460.7,908571,10841
460.8,909655,10846
460.9,910740,10852
461,911826,10858
461.1,912912,10863
461.2,913998,10869
461.3,915086,10875
461.4,916173,10880
461.5,917262,10886
461.6,918350,10892
461.7,919440,10897
461.8,920530,10903
461.9,921621,10909
462,922712,10914
462.1,923803,10920
462.2,924896,10926
462.3,925988,10931
462.4,927082,10937
462.5,928176,10943
462.6,929270,10948
462.7,930366,10954
462.8,931461,10960
462.9,932558,10965
463,933654,10971
463.1,934752,10977
463.2,935850,10982
463.3,936948,10988
463.4,938047,10994
463.5,939147,10999
463.6,940247,11005
463.7,941348,11011
463.8,942449,11016
463.9,943551,11022
464,944654,11028
464.1,945757,11033
464.2,946860,11039
464.3,947965,11045
464.4,949069,11050
464.5,950175,11056
464.6,951280,11062
464.7,952387,11067
464.8,953494,11073
464.9,954602,11079
465,955710,11084
465.1,956819,11091
465.2,957928,11096
465.3,959038,11102
465.4,960149,11107
465.5,961260,11113
465.6,962371,11118
465.7,963483,11124
465.8,964596,11129
465.9,965709,11135
466,966823,11140
466.1,967937,11146
466.2,969052,11151
466.3,970167,11157
466.4,971283,11162
466.5,972400,11168
466.6,973517,11173
466.7,974634,11179
466.8,975753,11184
466.9,976871,11190
467,977991,11195
467.1,979110,11201
467.2,980231,11206
467.3,981352,11212
467.4,982473,11217
467.5,983595,11223
467.6,984718,11228
467.7,985841,11234
467.8,986964,11239
467.9,988089,11245
468,989213,11251
468.1,990339,11257
468.2,991465,11263
468.3,992592,11270
468.4,993719,11276
468.5,994847,11283
468.6,995975,11289
468.7,997105,11296
468.8,998235,11302
468.9,999365,11309
469,1000496,11315
469.1,1001628,11322
469.2,1002761,11328
469.3,1003894,11335
469.4,1005028,11341
469.5,1006162,11348
469.6,1007297,11354
469.7,1008433,11361
469.8,1009570,11367
469.9,1010707,11374
470,1011844,11380
470.1,1012983,11387
470.2,1014122,11393
470.3,1015261,11400
470.4,1016402,11406
470.5,1017543,11413
470.6,1018684,11419
470.7,1019826,11426
470.8,1020969,11432
470.9,1022113,11439
471,1023257,11445
471.1,1024402,11451
471.2,1025547,11457
471.3,1026693,11464
471.4,1027840,11470
471.5,1028987,11476
471.6,1030135,11482
471.7,1031284,11488
471.8,1032433,11494
471.9,1033583,11501
472,1034733,11507
472.1,1035884,11513
472.2,1037036,11519
472.3,1038188,11525
472.4,1039341,11531
472.5,1040494,11537
472.6,1041648,11544
472.7,1042803,11550
472.8,1043958,11556
472.9,1045114,11562
473,1046270,11568
473.1,1047427,11574
473.2,1048585,11580
473.3,1049744,11587
473.4,1050903,11593
473.5,1052062,11599
473.6,1053222,11605
473.7,1054383,11611
473.8,1055545,11617
473.9,1056707,11623
474,1057869,11630
474.1,1059032,11636
474.2,1060196,11642
474.3,1061361,11647
474.4,1062526,11653
474.5,1063691,11659
474.6,1064857,11664
474.7,1066024,11670
474.8,1067191,11676
474.9,1068359,11682
475,1069528,11687
475.1,1070697,11693
475.2,1071866,11699
475.3,1073036,11704
475.4,1074207,11710
475.5,1075379,11716
475.6,1076550,11722
475.7,1077723,11727
475.8,1078896,11733
475.9,1080069,11739
476,1081244,11744
476.1,1082418,11750
476.2,1083594,11756
476.3,1084770,11762
476.4,1085946,11767
476.5,1087123,11773
476.6,1088301,11779
476.7,1089479,11785
476.8,1090658,11790
476.9,1091837,11796
