El(ft),Storage(acre-feet),Area(acres)
218.1,114,32.83
218.2,117,32.95
218.3,120,33.07
218.4,122,33.18
218.5,125,33.3
218.6,129,33.42
218.7,132,33.53
218.8,135,33.65
218.9,138,33.77
219,141,33.88
219.1,145,34
219.2,148,36
219.3,152,37
219.4,156,38
219.5,159,39
219.6,163,40
219.7,167,42
219.8,172,43
219.9,176,44
220,180,45
220.1,185,46
220.2,190,47
220.3,194,49
220.4,199,50
220.5,204,51
220.6,210,52
220.7,215,53
220.8,220,55
220.9,226,56
221,231,57
221.1,237,58
221.2,243,59
221.3,249,60
221.4,255,62
221.5,261,63
221.6,268,64
221.7,274,65
221.8,281,66
221.9,287,68
222,294,69
222.1,301,70
222.2,308,71
222.3,315,72
222.4,323,73
222.5,330,73.67
222.6,337,74.33
222.7,345,75
222.8,352,76
222.9,360,77
223,368,78
223.1,376,79
223.2,384,80
223.3,392,81
223.4,400,82
223.5,408,83
223.6,417,84
223.7,425,85
223.8,434,86
223.9,442,87
224,451,88
224.1,460,89
224.2,469,90
224.3,478,91
224.4,487,92
224.5,496,93
224.6,505,93.67
224.7,515,94.33
224.8,524,95
224.9,534,96
225,543,97
225.1,553,98
225.2,563,99
225.3,573,99.67
225.4,583,100.33
225.5,593,101
225.6,603,102
225.7,614,103
225.8,624,103.67
225.9,634,104.33
226,645,105
226.1,655,106
226.2,666,107
226.3,677,107.67
226.4,687,108.33
226.5,698,109
226.6,709,110
226.7,720,111
226.8,731,111.67
226.9,743,112.33
227,754,113
227.1,765,114
227.2,777,115
227.3,788,115.67
227.4,800,116.33
227.5,812,117
227.6,823,118
227.7,835,119
227.8,847,119.67
227.9,859,120.33
228,871,121
228.1,883,122
228.2,896,122.67
228.3,908,123.33
228.4,920,124
228.5,933,124.67
228.6,945,125.33
228.7,958,126
228.8,970,127
228.9,983,127.67
229,996,128.33
229.1,1009,129
229.2,1022,130
229.3,1035,130.67
229.4,1048,131.33
229.5,1061,132
229.6,1074,132.67
229.7,1088,133.33
229.8,1101,134
229.9,1114,135
230,1128,135.67
230.1,1142,136.33
230.2,1155,137
230.3,1169,137.67
230.4,1183,138.33
230.5,1197,139
230.6,1211,140
230.7,1225,140.67
230.8,1239,141.33
230.9,1253,142
231,1267,143
231.1,1281,144
231.2,1296,145
231.3,1310,146
231.4,1325,147
231.5,1340,148
231.6,1355,150
231.7,1370,151
231.8,1385,152
231.9,1400,153
232,1416,154
232.1,1431,155
232.2,1447,157
232.3,1462,158
232.4,1478,159
232.5,1494,160
232.6,1510,161
232.7,1526,162
232.8,1543,163
232.9,1559,165
233,1576,166
233.1,1592,167
233.2,1609,168
233.3,1626,169
233.4,1643,170
233.5,1660,172
233.6,1677,173
233.7,1694,174
233.8,1712,175
233.9,1729,176
234,1747,177
234.1,1765,179
234.2,1783,180
234.3,1801,181
234.4,1819,183
234.5,1837,184
234.6,1856,185
234.7,1874,186
234.8,1893,188
234.9,1912,189
235,1931,190
235.1,1950,192
235.2,1969,193
235.3,1989,194
235.4,2008,196
235.5,2028,197
235.6,2048,198
235.7,2067,200
235.8,2087,201
235.9,2108,202
236,2128,204
236.1,2148,205
236.2,2169,206
236.3,2190,208
236.4,2210,209
236.5,2231,210
236.6,2252,211
236.7,2274,213
236.8,2295,214
236.9,2316,215
237,2338,217
237.1,2360,218
237.2,2382,219
237.3,2404,220
237.4,2426,221
237.5,2448,222
237.6,2470,223
237.7,2492,224
237.8,2515,225
237.9,2537,226
238,2560,228
238.1,2583,229
238.2,2606,230
238.3,2629,231
238.4,2652,232
238.5,2675,233
238.6,2699,234
238.7,2722,235
238.8,2746,236
238.9,2769,237
